I0910 00:54:28.176569      61 handler.go:304] Adding GroupVersion batch v1 to ResourceManager
W0910 00:54:28.176579      61 genericapiserver.go:787] Skipping API batch/v1beta1 because it has no resources.
I0910 00:54:28.177126      61 handler.go:304] Adding GroupVersion certificates.k8s.io v1 to ResourceManager
W0910 00:54:28.177133      61 genericapiserver.go:787] Skipping API certificates.k8s.io/v1beta1 because it has no resources.
W0910 00:54:28.177136      61 genericapiserver.go:787] Skipping API certificates.k8s.io/v1alpha1 because it has no resources.
I0910 00:54:28.177438      61 handler.go:304] Adding GroupVersion coordination.k8s.io v1 to ResourceManager
W0910 00:54:28.177442      61 genericapiserver.go:787] Skipping API coordination.k8s.io/v1beta1 because it has no resources.
W0910 00:54:28.177444      61 genericapiserver.go:787] Skipping API coordination.k8s.io/v1alpha2 because it has no resources.
I0910 00:54:28.177853      61 handler.go:304] Adding GroupVersion discovery.k8s.io v1 to ResourceManager
W0910 00:54:28.177859      61 genericapiserver.go:787] Skipping API discovery.k8s.io/v1beta1 because it has no resources.
I0910 00:54:28.180421      61 handler.go:304] Adding GroupVersion networking.k8s.io v1 to ResourceManager
W0910 00:54:28.180433      61 genericapiserver.go:787] Skipping API networking.k8s.io/v1beta1 because it has no resources.
